Credit_Card_Number,Credit_Limit,Available_Balance,Spending_Score,Last_Transaction_Amount
1275068155242045,12265.86,13085.85,26,1247.29
2899647308246004,12021.64,3042.09,9,3585.6
7766967748784923,2738.25,8806.47,72,4280.66
9290434575742571,17671.76,12305.96,96,1783.84
1860004565411155,6046.4,1669.28,95,3787.32
9654384369936317,3460.78,17648.33,47,1475.36
6160327289783935,17886.21,16072.07,69,1494.29
6741620179838966,19157.38,10104.14,58,535.29
2756312441869784,17380.42,19342.53,99,2200.29
3441907550939325,16380.81,8355.22,58,3648.56
4479818031756672,13449.6,19682.21,1,4701.1
8306772944454938,11466.29,13358.4,28,3018.98
7456044517726840,2652.75,12693.43,67,4315.68
3650318458450892,8760.61,3319.1,64,4112.47
7991692670838018,8081.08,17638.56,82,866.72
3143386956391109,5935.32,8549.79,25,2429.09
1094315480749466,14744.98,3244.67,88,584.62
8725754894635325,10421.64,252.15,9,3410.77
8897399859313888,2539.88,11195.11,52,4749.5
5361978532869353,5183.48,10547.99,78,685.45
4925991999079063,13981.92,14387.07,58,3669.42
1712269509238586,2446.49,17805.16,21,3161.19
9283124542795423,17172.93,1588.13,50,2918.03
5352277441660375,10407.78,14629.93,47,1950.6
8051066724175539,10131.14,3748.24,20,1775.66
7426027267770173,12255.75,17163.54,21,226.25
2888893347600825,16668.94,16381.27,99,1089.54
1829251870999819,7608.37,10815.88,97,75.88
6855989035237158,13882.31,14204.86,29,2907.09
4286997365382530,11748.91,6287.0,24,529.27
2790486602384996,6073.54,9423.36,27,4365.1
4182471972383671,17693.97,16432.74,64,2615.72
5904166603080378,16151.09,9185.3,44,3498.45
4492534160683009,13510.58,7155.97,67,2054.29
5383209164486875,17161.05,9884.25,6,2802.9
4859513588712278,17478.59,16564.99,48,4713.3
7016408850175711,14458.9,6704.16,8,413.67
2157651029612928,16903.25,3475.23,35,1269.69
6609238802118269,14251.96,14240.28,82,3899.94
7707577260561460,13922.67,16519.56,0,493.69
4596139385449177,12753.62,2012.75,9,378.31
6513636576126661,15301.62,4797.48,35,1807.71
7568068398119158,4013.5,2839.44,72,460.84
5806253435080118,17736.54,6958.83,45,2925.39
8178481077169335,17565.03,9007.02,31,1131.38
7140197955580304,1555.7,14976.53,31,4478.49
4486546231202085,16690.52,13022.95,5,3917.5
2980321245798212,3448.53,12418.57,47,3498.53
9667948306767457,7367.26,7047.5,37,3084.72
5222972472155093,15126.66,16828.95,16,4317.33
3400830095470078,4054.44,9425.74,73,1115.31
9227575925069967,16541.37,19582.1,26,4365.54
7300614591343816,16810.55,12682.84,53,3947.46
9625099671949498,10641.89,2525.29,49,3740.8
9916239130872271,1121.33,13523.55,34,2806.28
5571068660279042,6453.72,6502.08,84,1231.22
2339837922806523,12721.61,13726.54,24,2117.74
6871092390541219,19642.54,1392.82,27,3967.85
9753842188313945,13004.46,3497.63,14,158.89
7904670211241470,5936.27,17114.75,3,3910.25
8776374794366099,13046.11,4543.59,92,1200.35
3827252829980358,11259.72,16740.82,72,721.55
1922713338552808,15817.06,5585.52,26,578.51
1364627251120039,3032.63,12857.64,25,136.25
1306211917093414,15459.53,13883.01,18,2617.93
4810159280532327,11284.06,10253.1,91,1091.3
6790580889749258,19296.85,6106.21,16,4947.16
5538628243398584,7495.57,4252.89,42,2872.18
4546853610469297,13019.82,663.79,40,689.43
7958356151162270,18708.53,6078.93,41,3443.81
8124688012504361,2947.68,13063.26,49,4488.72
3381964074172678,18807.34,18766.1,83,3725.9
6830689438685327,14069.83,17424.09,39,382.2
7044401888354927,2288.9,15321.3,38,4479.42
1461762742861811,6718.31,15768.95,22,3969.65
7524756522546032,14455.27,13299.7,95,791.52
3823554433973120,2279.66,5205.74,51,258.93
7075007753369853,12061.24,18143.9,46,2786.55
5484407816376772,7571.78,13414.65,62,780.18
1505933758493855,12797.39,11208.81,96,4172.95
6330407412145142,1869.1,2219.79,68,1791.67
3999503278054632,17559.2,8941.11,42,4564.46
2632099170428562,19496.29,9207.17,47,2828.44
7820476126939343,19408.68,17291.27,33,913.36
3538234860540307,15243.38,10932.96,39,697.99
7782437997533237,3471.64,7608.01,74,2882.36
2667374541760160,15407.0,19536.01,60,3809.42
8933628589175411,1467.15,2214.41,49,3907.53
3870047194596976,1420.35,8450.97,66,1378.79
1140496048231843,7148.59,840.49,61,1021.23
3152455798444135,10284.22,14798.08,57,83.78
9707391556673789,15637.74,18361.53,32,3396.0
8526029842050159,13982.61,5600.75,74,382.84
8329335663695320,9472.15,17166.83,15,2103.81
8670618204014744,6198.91,5844.36,81,3008.41
4297831728122769,19945.37,18215.4,93,4685.54
4016507167363949,9097.44,15079.24,47,1559.01
8267022326017729,9576.35,16098.14,9,1248.86
1012324187139234,4108.85,360.13,81,3270.8
2951426957067196,16101.38,19256.21,37,3096.2
3734108216750051,14179.96,14533.42,18,1660.55
5891314992748099,5194.62,6095.02,35,4640.51
8981494466236813,2565.24,16587.89,58,4224.31
4770312039027503,13929.49,5630.42,62,1119.91
8335475003057655,13435.71,17455.08,76,1195.71
5036855842600327,6191.93,2251.61,45,2561.5
2887340575294658,19066.41,14073.72,2,3867.86
8126554658017919,3870.1,10813.97,73,220.2
9070555117021871,9214.36,1930.69,64,3466.68
8619390132560826,18928.7,4837.88,90,3241.18
1738264661537237,8974.82,248.08,7,1157.4
2211070184047637,13131.99,9375.36,50,3406.77
7222057230681757,8554.29,6025.31,80,4700.92
7535660233603301,6210.09,11967.15,72,233.93
1577709551591986,19695.58,5944.76,5,1598.26
9208635582093063,8777.35,5998.38,88,2190.88
6151325510989850,17987.88,14863.86,38,4496.3
7967473544805652,5369.14,962.86,59,4811.31
4609823998738016,5048.99,18057.9,27,2220.58
5496021883100014,1591.55,17045.28,96,3750.14
7091018956576224,13381.67,13356.09,53,2658.31
8724911987354619,8002.0,11864.43,36,2688.91
6241631771665199,17422.81,17846.05,8,1390.5
1196342591708675,9990.99,3706.6,81,1084.78
8197552445224127,19395.68,1579.38,55,1440.03
9352096670293503,4524.98,4790.2,58,2781.64
7509181827472555,17503.84,15891.57,84,145.78
1533106244077725,15755.34,693.41,1,4536.24
6816263092814893,15647.52,11656.14,60,781.42
6785032684513797,17050.88,19908.75,57,1100.44
1765684211154811,15459.46,17113.92,59,2591.38
6900979920471076,12898.19,10428.91,39,3550.57
2769214413901148,3493.65,1272.82,35,478.65
9296848397828397,1618.0,16627.47,36,1588.47
7386739086213726,18496.11,11979.57,78,4843.37
5446850140013243,12716.36,2298.66,91,1311.71
9677208651064435,16134.21,1877.15,17,1565.25
1282292333455612,10148.92,18192.54,97,4182.49
7126290631363487,3228.86,13384.01,62,251.07
2152108950373536,3378.53,16585.74,21,2323.07
1506872649698626,14025.74,17579.58,10,1898.08
2091262596278289,9175.81,11435.45,57,1582.93
3963288611258345,4809.97,10348.93,56,1428.5
3206577433926197,10340.3,8608.55,76,456.87
5224572481443138,2219.97,6338.93,3,1574.13
5371001404476077,12057.46,8691.92,85,215.26
1157329844318833,6110.87,15477.59,6,3904.82
5817096467812270,16153.62,12038.47,60,1991.14
6677145146803862,6896.88,17850.47,53,2219.52
9034961484471934,9649.18,8867.6,87,4467.97
5856106041485801,1220.79,12141.79,67,3290.27
8746614853808089,2376.49,12626.15,91,40.3
1847795829501031,8457.38,11833.94,78,4715.87
5397634781027720,10118.84,14052.68,0,1185.72
7191533409382645,12400.39,4748.67,54,538.07
3142602644528166,6541.59,10247.28,2,3840.64
3486941956708009,14204.66,2084.5,77,2502.39
6148971806147097,17342.33,7690.23,37,2168.85
2010873193121585,15817.17,9753.34,0,1247.52
7882498739710359,1752.76,13044.49,37,2737.36
3852185052502843,10129.63,19010.62,84,1371.92
3064852794461062,2993.67,12013.02,28,4507.92
1949121749725219,5598.86,14871.88,4,1076.02
9183305102684179,19746.59,10125.32,73,4421.78
2136070694088455,3707.42,12682.08,91,2797.03
6658084245741549,10478.87,1418.64,20,4142.44
8056180513811085,12744.96,5087.83,70,3564.23
7583651801847666,14346.83,7237.06,66,3483.48
2928363125105806,11633.32,9449.87,46,1621.73
2746417793138017,1185.65,912.97,83,1169.48
5278480799782687,7202.76,2800.48,82,1054.43
3861851264804798,10836.52,5536.29,34,4285.96
6492427062366258,2669.46,19430.65,67,4102.13
5906674384064185,7661.91,6626.94,68,2202.87
4028325527841981,1630.86,9640.82,0,662.02
8534389852657813,2492.99,3921.95,67,1911.26
1238842531772985,8541.54,12215.6,11,3096.72
5184007890729264,3521.6,5613.66,59,2272.02
5405412546810537,11783.28,4139.85,26,3900.95
7178453491732238,14099.83,10331.45,55,4988.11
7038747799763946,16211.15,110.12,22,955.66
2981025003465316,4802.85,153.28,24,2298.25
5991648906819847,4182.17,4381.38,20,2154.92
9528036689598011,2986.79,734.43,60,1522.46
1013108090945131,13092.17,2160.52,62,990.48
7122099887264870,14423.04,6777.21,51,328.46
8130074529583877,1600.14,16051.71,87,4435.6
8603587597394911,18788.03,11440.97,24,2099.24
2930138594737501,1987.45,10253.35,54,2484.48
2988117595896674,11284.63,5869.78,45,4584.71
5111306498710439,14472.15,18635.07,31,3881.45
1315779450641039,17548.41,7940.3,54,652.51
5909375121756529,14567.65,1741.86,95,2827.1
4450798838101097,16232.83,12341.33,4,2211.26
4736814997431954,7449.55,2276.77,35,3986.06
5875854745772151,16481.68,6904.46,48,3621.16
6984909939914514,2522.18,10148.24,57,3452.03
1121340316718137,18001.52,17484.45,38,1702.72
7112967900292441,11404.26,9870.93,79,4024.82
9271506508381657,16528.66,14045.18,96,261.96
5539282563012413,9594.05,19856.34,84,798.12
1786247142737022,13227.98,2629.78,60,1678.12
4199066397837195,11001.65,5494.63,8,384.04
5824605733013120,14900.2,7891.52,5,1174.97
9167421115069049,2550.97,8436.56,34,4150.75
4450269387849454,2146.69,8220.42,38,4741.26
5480652646986847,5694.96,18152.22,21,1523.01
8351872017405045,4031.35,14280.65,40,1322.58
5435632555314776,17563.89,12158.1,4,1399.46
1758559663119596,5165.07,6187.45,41,1388.6
3743782468858752,19541.44,16475.81,86,179.65
6080909875655868,7401.02,19101.21,80,4634.58
2917439431963327,4460.24,16423.97,75,1068.49
3856249612321348,16004.27,31.3,86,2100.02
8242576421968732,13515.45,12728.03,79,48.43
4070893231644610,10465.72,1022.71,66,4289.78
4180112181186713,11551.91,5152.14,29,3655.79
1288686908181938,14664.83,1190.49,56,4733.78
1620004815084629,5340.64,12075.91,85,3908.08
5304280253459740,19930.34,13731.8,72,1568.53
7456113629242587,19521.07,2289.75,28,1239.37
2922238787529774,13356.19,7676.78,36,3488.58
4716281919916125,4791.31,9124.73,86,1820.56
9856488764322749,13924.34,7381.06,12,2831.08
1822379616039364,2371.77,2420.5,31,31.29
1972840231021455,1582.4,8378.96,45,309.43
4281877983812057,5895.97,15023.56,22,2676.84
8469737572424020,9789.84,1420.15,44,2830.36
7036483532613219,17497.18,1603.6,16,3757.26
7461969271151869,14816.21,7095.43,84,659.83
5757439280288100,15111.42,18834.51,65,2565.92
2240343811823353,9084.37,13371.45,5,972.24
3350798591440629,7572.76,13573.4,17,465.98
7050908353690723,8049.74,7238.4,93,2052.48
8049111900122291,19765.34,11873.22,21,816.68
2861327222669193,1762.07,202.62,32,1108.91
7855428943490706,17473.6,12721.92,29,1587.77
4810604511143519,11994.83,18265.74,80,1296.94
1821337502557175,9333.69,12251.47,31,437.96
1040976925605868,14779.9,17473.97,41,449.58
7212256226896911,10246.71,14479.46,77,966.25
5726903326040399,17595.04,2411.17,9,252.8
7076961872574721,18113.34,18049.07,35,3132.29
3658554121076699,9012.7,1328.88,33,1436.63
7020374356252831,6259.73,10679.35,72,1398.73
6328073579496275,12254.66,2842.74,27,1659.99
6144166843213707,18334.9,234.13,10,3313.98
9755074252156578,5002.58,8440.69,77,4353.17
5091811599836704,12836.37,5900.81,38,3795.43
5520782980649916,12999.64,9720.01,46,3637.65
4811675330669994,14929.15,11544.0,18,2421.96
2080152603596043,3499.79,874.78,14,3469.03
7649033804709440,14600.67,2460.07,27,2763.81
5668116852782247,18271.62,11172.85,23,1081.25
2424181978285098,4413.98,6863.35,71,1042.94
9829264231289116,5513.32,14583.47,8,1481.96
1467894658879499,19456.51,13045.83,46,4554.01
4543031811935533,4438.56,16912.09,32,2737.07
3866981031738620,17233.32,13849.86,61,3669.53
4775665455620849,10353.28,8598.62,96,1732.79
8186555473521366,5697.39,13459.33,18,2038.58
8154868575629401,17544.25,5507.62,66,627.83
3360683184872028,9460.8,6126.27,73,856.47
3743941568805833,10781.53,15779.7,39,4136.78
6953139667839997,7825.43,8928.39,46,2924.19
1283267097747570,12266.07,15967.61,64,1687.66
3148894527737734,4106.95,16448.45,28,4014.26
1014034634097465,8430.55,17151.25,49,1232.6
9266078374106737,19418.83,18332.7,97,4880.16
1675018262981706,5904.54,8619.7,12,1724.09
1564719648251255,13478.0,6377.34,0,1686.55
4832499897533144,7178.61,11643.97,33,1559.56
5764273938226172,15695.99,7423.45,92,610.56
6465640295457443,3486.6,12021.48,47,555.69
4568505461446500,19426.6,14111.72,76,3240.53
3332925597748119,9622.0,13768.1,47,4375.59
4580832672369378,5484.96,7491.06,48,3952.6
5994740870005858,2396.44,3337.2,63,705.54
1369363440911907,4225.4,8610.59,60,2727.91
9043826279158768,10875.71,2851.88,28,527.96
1844315754399839,7403.06,17801.94,38,226.47
9697789240007318,16748.78,6917.55,87,3281.93
2720450347859679,9186.86,3089.19,25,2675.76
1264038434254603,5725.57,508.96,16,410.12
6222064676556470,12725.75,12916.45,70,174.7
8061118391068950,14428.77,12738.05,12,4948.78
3736513666059106,4173.8,6812.08,68,150.11
2780557624301341,4184.77,1434.24,25,2222.64
4858257316261744,1696.76,8192.58,48,2523.1
7817236217930323,14991.64,6224.35,66,586.4
6268238623441624,13612.29,13542.41,6,845.31
5157619815174540,10017.99,12115.58,57,1759.03
1284473293315090,17039.24,7291.87,48,3808.38
1766016236893795,16307.73,4357.85,52,2535.41
2760919233427900,12121.73,19760.72,64,3189.51
3002111233417106,17497.15,9080.03,61,4925.87
9602902622572808,4910.98,13765.48,16,3840.03
9595736907278107,3126.47,2811.06,42,2171.81
7547375606778590,6125.24,9711.79,24,2232.21
8597073369562675,2084.65,550.73,2,3093.86
4610050978835961,11092.22,10109.1,78,3326.83
1023562548289679,18795.51,19280.35,28,2503.55
4750932772416580,1747.53,7684.13,31,3224.31
5464440703029643,3320.09,779.92,25,117.66
1945685457238963,9591.78,619.12,15,2148.11
3862553666770388,18743.63,7759.74,24,1394.69
8773426718199348,7006.97,3200.5,53,645.87
2386032251733135,10637.46,467.04,27,497.73
2242689144882214,1789.88,15124.27,72,3015.96
8116507109744308,3818.52,9170.46,55,2618.0
6159088835548345,19745.97,5784.9,64,1267.92
8929295589955981,19337.26,18001.66,92,2354.75
4919613164098169,1093.86,2322.78,85,2461.16
3291952333511842,19084.42,19118.38,79,975.04
1163649188602588,13143.28,6279.33,40,3260.47
7070312239193930,17490.45,17768.07,50,3904.6
7784613673964270,9640.06,12058.86,70,3957.32
8628736751123464,10796.32,16534.15,77,3012.35
6168021777892281,10288.09,19680.26,28,2558.19
1996071063624592,13670.42,5768.11,82,305.04
1893889374760165,3653.37,19222.71,18,1439.16
3258424483304621,1569.5,7789.64,65,466.36
6267262948426919,6850.67,7710.24,40,4819.12
1167853320500616,14388.93,6807.74,44,675.4
2525786667604762,4835.22,10828.15,14,758.88
4459583901689025,13795.22,3082.9,2,4447.88
6425009756035100,19428.33,11074.23,10,4719.64
7734114584843685,2784.11,10834.1,52,3829.15
6745302939135623,13779.44,15238.04,45,27.02
5562903947978092,9431.25,16673.0,29,6.73
1676478310106453,17494.7,8808.83,56,1890.5
6526090623182480,4365.85,6046.66,17,716.98
9692734237777222,14159.89,5186.7,50,91.93
3974009696585004,16924.19,3892.48,47,2320.33
9273289632278307,18947.67,1152.95,65,4715.31
6220780603038971,13981.71,6848.96,95,1619.1
1085343068915474,10446.32,5404.95,7,3305.7
6376321425492843,12739.1,19328.35,21,3261.18
6511532695808166,17509.19,11154.18,5,1255.4
8265960451662537,11841.59,6945.54,75,3252.13
2925628530748946,1577.35,11609.35,56,1061.67
7597234841369725,18688.03,2783.93,35,610.04
9072349172715692,14101.01,8880.87,78,3506.92
3272194058736369,13853.75,12524.69,91,567.2
8358874865372797,5097.83,9777.96,56,4984.55
3784211437123219,13518.82,8035.58,48,917.26
4054287683248583,8483.42,19876.97,44,2970.71
7248785812546430,13373.43,17606.3,81,2056.87
6248418872338342,3025.27,12468.12,65,631.93
9105602645006722,13499.06,11387.55,76,139.22
7658420099594587,19988.86,12413.21,44,3113.66
5768295885799928,1916.03,4026.24,78,4033.79
7619878094767611,19566.31,7902.75,19,4210.08
2246228066622872,8731.25,789.19,63,2413.57
9025573863670688,17544.32,9510.92,92,3887.28
9325113077544052,15865.32,10860.49,92,3364.24
7122655419140153,11773.31,4554.99,66,3621.27
9037618882687660,15030.53,19280.58,82,2463.0
3808837985163436,17691.8,18189.09,2,3167.06
4526392874242862,8678.67,14442.86,53,4027.63
1550391655452751,7213.63,10667.73,77,1989.42
7592078691003604,13684.27,17399.38,63,4029.89
6331303902423803,16349.07,2613.05,39,2960.08
2219239222703779,15483.42,15810.2,58,829.51
3644199602550418,16158.46,2496.42,54,123.42
2185355463110072,9276.08,15884.21,61,1813.77
3741705972193326,16538.85,5515.35,3,2733.48
1075764154289456,3283.97,17541.81,59,4199.1
9046283191481486,11345.29,18880.84,74,637.43
9107382113488384,1109.41,2975.92,94,4001.03
3152245465034293,7167.13,9253.51,95,4315.05
7086301021048066,7962.77,19619.75,90,753.44
6148530787394006,8527.28,9668.15,29,4257.97
1668197763029962,14213.88,17270.95,1,4957.27
4716400664118601,8382.6,11774.63,61,3634.19
4987787188546319,9525.18,7506.6,48,3923.85
3343915671740773,5513.34,5715.67,8,4972.08
2666632452955543,8091.78,4064.46,91,3027.41
1284341161546100,5318.12,15235.96,30,1539.43
1690524095784057,2390.72,7730.81,97,4187.65
3451205038529187,12465.52,10225.51,60,3072.43
6893766244568711,13696.04,9846.51,78,2905.98
6993133925571899,12770.32,11545.58,47,1268.18
3951850560356891,9806.39,17311.54,24,3781.67
2806340238316388,8215.93,19614.79,35,408.34
6049130309915363,17403.34,8151.68,7,4621.44
7841983633430426,10862.55,16550.38,72,1629.12
8522811451399102,10104.46,15290.56,57,638.87
9334917815407816,1487.2,11470.58,44,2211.83
9219538378512372,7483.71,19120.94,61,212.35
6874499942607308,8223.72,4009.49,38,3423.13
3967424133331695,8577.63,2185.28,95,4513.53
1355812842695564,12023.28,17079.24,57,4186.32
6214077739720226,11138.45,8783.0,80,636.85
6010461347459461,12550.2,16939.38,98,631.36
2713388797877106,15532.78,17861.8,82,4067.17
3464003758953156,16446.73,1249.15,63,4621.27
3470804143941528,14644.34,17669.3,43,2303.35
6059682283487241,19154.95,8966.38,28,2494.86
3053028197491485,1346.42,10208.65,58,1591.31
7294642013560058,4719.78,12531.85,70,4471.33
6474932959122436,1143.69,18527.65,91,3224.51
9979852242776437,13302.02,382.32,8,1441.26
1119024196880529,18062.58,9536.87,91,1493.91
9480395682886894,5626.16,13754.44,5,4456.0
1484542648547082,18613.66,14454.14,28,68.17
8022944763272473,2145.08,13850.65,57,1613.63
1580810115314904,18754.28,2688.7,16,2771.78
4464929772575546,7680.83,5987.91,15,741.09
6940775438209712,2927.0,7174.31,86,460.49
9081187398635424,10231.56,16088.74,94,4076.38
8958681931819112,5878.75,5575.2,2,4472.02
5957019899699710,6412.59,4214.1,20,4118.03
9445898627482004,6838.51,19148.96,63,4493.94
5116498843614006,16257.49,177.27,89,2765.56
9569618072613339,11244.06,19956.42,35,4061.29
8397310368246468,6914.85,13536.43,85,1920.21
4799219621734020,12596.34,16569.39,61,3331.34
2010888899640066,14606.86,5892.39,41,4944.18
5720979025353750,6179.86,286.31,75,1128.64
8982337277234740,8857.43,14757.39,41,1949.5
8928186462540489,3315.84,16682.89,60,2400.24
1701253818175570,4441.84,14809.52,12,690.08
6124343696178260,13941.24,2857.01,10,405.19
7434673638889928,4447.33,15068.56,53,4148.61
5670095114536960,10978.1,15378.46,15,4883.97
9075029322715820,14471.88,13170.81,7,2023.63
5014094504746755,3030.66,15322.32,58,438.25
3346073822794176,11778.93,16918.43,56,329.06
6791612031119847,5874.69,12272.08,39,4456.59
9346526111852577,19295.61,1772.09,58,2319.07
5659022762850398,10187.37,9752.56,1,1600.14
6097640944330278,16313.86,1552.99,93,2382.31
4439931641282809,11454.3,8150.86,93,1591.52
6315732743713205,1824.84,8142.13,75,2445.18
7377673522987778,13029.88,1320.2,9,4297.78
3655845888982321,19076.66,6976.41,43,2961.51
3411279750703040,12430.62,2219.96,10,3473.27
3749010860122347,16564.59,16164.7,78,1823.35
8214463105231837,17799.92,18953.76,79,3692.53
4482006402142970,5333.52,1446.33,80,3333.09
3998611260955024,5028.85,19102.3,89,597.81
5172025918933758,12608.64,10451.53,1,2863.21
9529111071341462,8809.54,5991.31,49,1283.72
5693603760735460,16957.36,1537.24,11,4020.48
4548487546122125,18100.44,10012.49,89,2129.69
9605060629489738,7715.01,15890.31,22,4973.42
2356466220230758,5500.54,14141.73,17,462.5
3601056320421567,15829.98,1004.52,61,3901.74
8092932247001825,6221.31,1458.04,95,3368.51
1029848339457329,16629.67,8057.47,61,3837.49
2363813764636497,9051.03,5905.81,37,1537.65
3844563518022990,13683.45,4647.69,66,2460.27
9544691797354930,2815.17,5620.09,37,3982.54
7458250953566177,12853.33,16069.65,66,1162.71
3046412533887224,9583.59,18584.56,93,1130.17
6858908559039968,12145.56,8102.05,60,2755.25
9298941583238478,4192.27,18122.22,0,2617.82
2077501200110109,15000.6,6429.91,93,1411.31
1302324996820073,17393.14,9528.74,44,1490.38
2088734256212048,5118.06,4520.58,95,1389.23
6568497239560988,2818.58,12809.52,27,3857.56
2859838776164489,1449.13,19579.62,20,3259.5
6867783641582992,13197.46,12069.86,12,4162.09
8693599694637840,12534.79,7156.28,26,4877.37
8967040064509779,11387.25,12956.35,99,2370.82
3792583637864516,5406.99,2458.41,6,333.47
1961117562937093,8427.21,17773.18,21,240.46
8943096829482433,12295.05,10061.68,73,1478.33
3551744047978621,10438.57,8986.99,52,4662.72
2845988023332906,19767.92,11717.3,78,2616.07
8369954893541322,3592.36,12495.68,78,1358.93
